Report Date,Area,District,Zone,Ward,Stake,Source 1,Source 2,Source 3,Source 4,Source 5,Source 6
1/7/2018,DANSHUI_ZL,DANSHUI,NORTH,DANSHUI,NORTH,1,0,0,0,0,0
1/7/2018,JINGMEI_ZL,XINDIAN,SOUTH,JINGMEI,SOUTH,1,0,0,0,0,0
1/7/2018,SANCHONG_S,SANCHONG,CENTRAL,SANCHONG,CENTRAL,0,0,0,0,1,0
1/7/2018,TAOYUAN_1_S,TAOYUAN_A,TAOYUAN,TAOYUAN_1,TAOYUAN,1,0,0,0,0,0
1/7/2018,YINGGE_E,BADE,TAOYUAN,BADE,TAOYUAN,0,0,1,0,0,0
1/7/2018,YONGHE_S,SHUANGHE,SOUTH,YONGHE,SOUTH,0,0,0,2,0,0
1/14/2018,DANSHUI_ZL,DANSHUI,NORTH,DANSHUI,NORTH,0,0,0,1,0,0
1/14/2018,LONGTAN_A_E,BADE,TAOYUAN,LONGTAN,TAOYUAN,0,0,0,0,1,0
1/14/2018,SIYUAN_E,XINZHUANG,WEST,SIYUAN,WEST,0,0,0,0,1,0
1/14/2018,TAOYUAN_3_ZL,TAOYUAN_A,TAOYUAN,TAOYUAN_3,TAOYUAN,0,0,0,0,1,0
1/14/2018,YULI_E,YULI,HUALIAN,YULI,HUALIAN,1,0,0,0,0,0
1/14/2018,ZHONGHE_1_E,SHUANGHE,SOUTH,ZHONGHE_1,SOUTH,0,0,0,1,0,0
1/14/2018,ZHONGLI_1_A_E,ZHONGLI,TAOYUAN,ZHONGLI_1,TAOYUAN,1,0,0,0,0,0
1/14/2018,ZHUBEI_1_E,ZHUBEI,XINZHU,ZHUBEI_1,HSINCHU,1,0,0,0,0,0
1/21/2018,TUCHENG_S,TUCHENG,WEST,TUCHENG,WEST,0,0,0,1,0,0
1/21/2018,YINGGE_E,BADE,TAOYUAN,BADE,TAOYUAN,0,0,1,0,0,0
1/28/2018,LONGTAN_A_E,BADE,TAOYUAN,LONGTAN,TAOYUAN,0,0,0,0,1,0
1/28/2018,TAOYUAN_3_ZL,TAOYUAN_A,TAOYUAN,TAOYUAN_3,TAOYUAN,2,0,0,0,0,0
1/28/2018,XIANGSHAN_A_E,XINZHU_B,XINZHU,XIANGSHAN,HSINCHU,0,0,1,0,0,0
2/4/2018,TUCHENG_E,TUCHENG,WEST,TUCHENG,WEST,0,0,0,1,0,0
2/4/2018,XINZHU_3_ZL,XINZHU_A,XINZHU,XINZHU_3,HSINCHU,1,0,0,0,0,0
2/4/2018,XIZHI_A_E,XIZHI,EAST,XIZHI,EAST,1,0,0,0,0,0
2/11/2018,JILONG_ZL,JILONG,EAST,JILONG,EAST,2,0,0,0,0,0
2/11/2018,MUZHA_A_E,XINDIAN,SOUTH,MUZHA,SOUTH,1,0,0,0,0,0
2/11/2018,MUZHA_S,XINDIAN,SOUTH,MUZHA,SOUTH,0,0,0,1,0,0
2/11/2018,TAOYUAN_3_ZL,TAOYUAN_A,TAOYUAN,TAOYUAN_3,TAOYUAN,0,0,1,0,0,0
2/11/2018,XINPU_S,BANQIAO,WEST,XINPU,WEST,0,0,0,0,1,0
2/11/2018,YILAN_A_S,YILAN,EAST,YILAN,EAST,1,0,0,0,0,0
2/11/2018,ZHUBEI_3_E,ZHUBEI,XINZHU,ZHUBEI_3,HSINCHU,1,0,0,0,0,0
2/18/2018,JILONG_A_E,JILONG,EAST,JILONG,EAST,0,0,0,1,0,0
2/18/2018,MIAOLI_E,MIAOLI,XINZHU,MIAOLI,HSINCHU,0,0,0,1,0,0
2/18/2018,XINZHU_3_ZL,XINZHU_A,XINZHU,XINZHU_3,HSINCHU,0,0,0,1,0,0
2/25/2018,DANSHUI_B_E,DANSHUI,NORTH,DANSHUI,NORTH,0,0,3,0,0,0
2/25/2018,GUISHAN_A_E,TAOYUAN_B,TAOYUAN,GUISHAN,TAOYUAN,0,0,0,1,0,0
2/25/2018,JINHUA_S,JINHUA,CENTRAL,JINHUA,CENTRAL,1,0,0,0,0,0
2/25/2018,MUZHA_S,XINDIAN,SOUTH,MUZHA,SOUTH,0,0,0,1,0,0
2/25/2018,TAIDONG_1_S,TAIDONG_A,HUALIAN,TAIDONG_1,HUALIAN,0,0,0,1,0,0
2/25/2018,TAIDONG_2_ZL,TAIDONG_A,HUALIAN,TAIDONG_2,HUALIAN,1,0,0,0,0,0
2/25/2018,XINZHU_1_S,XINZHU_B,XINZHU,XINZHU_1,HSINCHU,1,0,0,0,0,0
2/25/2018,XINZHU_3_ZL,XINZHU_A,XINZHU,XINZHU_3,HSINCHU,0,0,0,1,0,0
3/4/2018,DANSHUI_ZL,DANSHUI,NORTH,DANSHUI,NORTH,1,0,0,0,0,0
3/4/2018,FENGLIN_E,YULI,HUALIAN,HUALIAN_3,HUALIAN,0,0,1,0,0,0
3/4/2018,TAIDONG_1_S,TAIDONG_A,HUALIAN,TAIDONG_1,HUALIAN,0,0,1,0,0,0
3/4/2018,TAOYUAN_2_S,TAOYUAN_B,TAOYUAN,TAOYUAN_2,TAOYUAN,0,0,0,0,1,0
3/4/2018,ZHONGLI_2_B_E,ZHONGLI,TAOYUAN,ZHONGLI_2,TAOYUAN,1,0,0,0,0,0
3/11/2018,XINDIAN_E,XINDIAN,SOUTH,XINDIAN,SOUTH,1,0,0,0,0,0
3/18/2018,TAIDONG_2_ZL,TAIDONG_A,HUALIAN,TAIDONG_2,HUALIAN,1,0,0,0,0,0
3/18/2018,XINDIAN_E,XINDIAN,SOUTH,XINDIAN,SOUTH,1,0,0,0,0,0
3/18/2018,XIZHI_A_E,XIZHI,EAST,XIZHI,EAST,0,0,1,0,0,1
3/18/2018,ZHONGLI_1_S,ZHONGLI,TAOYUAN,ZHONGLI_1,TAOYUAN,0,0,0,1,0,0
3/25/2018,JILONG_ZL,JILONG,EAST,JILONG,EAST,1,0,0,0,0,0
3/25/2018,JINHUA_S,JINHUA,CENTRAL,JINHUA,CENTRAL,0,0,0,1,0,0
3/25/2018,TAOYUAN_1_E,TAOYUAN_A,TAOYUAN,TAOYUAN_1,TAOYUAN,1,0,0,0,0,0
3/25/2018,ZHUBEI_3_E,ZHUBEI,XINZHU,ZHUBEI_3,HSINCHU,1,0,0,0,0,0
4/1/2018,ANKANG_E,XINDIAN,SOUTH,ANKANG,SOUTH,1,0,0,0,0,0
4/1/2018,JINHUA_S,JINHUA,CENTRAL,JINHUA,CENTRAL,1,0,0,0,0,0
4/1/2018,JINHUA_ZL,JINHUA,CENTRAL,JINHUA,CENTRAL,1,0,0,0,0,0
4/1/2018,MUZHA_A_E,XINDIAN,SOUTH,MUZHA,SOUTH,1,1,0,0,0,0
4/1/2018,NANGANG_E,SONGSHAN,EAST,SONGSHAN,EAST,0,0,0,1,0,0
4/1/2018,SANCHONG_E,SANCHONG,CENTRAL,SANCHONG,CENTRAL,1,0,0,0,0,0
4/1/2018,SANCHONG_S,SANCHONG,CENTRAL,SANCHONG,CENTRAL,0,0,0,1,0,0
4/1/2018,SHILIN_S,BEITOU,NORTH,SHILIN,NORTH,0,1,0,0,0,0
4/1/2018,TAIDONG_3_A_E,TAIDONG_A,HUALIAN,TAIDONG_3,HUALIAN,0,0,0,0,1,0
4/1/2018,TAOYUAN_3_ZL,TAOYUAN_A,TAOYUAN,TAOYUAN_3,TAOYUAN,1,0,0,0,0,0
4/1/2018,TIANMU_A_E,BEITOU,NORTH,TIANMU,NORTH,1,0,0,1,0,0
4/1/2018,TOUFEN_A_E,ZHUNAN,XINZHU,TOUFEN,HSINCHU,1,0,0,0,0,0
4/1/2018,XINZHU_1_S,XINZHU_B,XINZHU,XINZHU_1,HSINCHU,0,0,0,1,0,0
4/8/2018,FENGLIN_E,YULI,HUALIAN,HUALIAN_3,HUALIAN,1,0,0,0,0,0
4/8/2018,YULI_E,YULI,HUALIAN,YULI,HUALIAN,1,0,0,0,0,0
4/15/2018,DANSHUI_B_E,DANSHUI,NORTH,DANSHUI,NORTH,1,0,0,0,0,0
4/15/2018,JILONG_A_E,JILONG,EAST,JILONG,EAST,0,1,0,0,0,0
4/15/2018,LUODONG_A_E,YILAN,EAST,YILAN,EAST,0,0,0,1,0,0
4/15/2018,MIAOLI_E,MIAOLI,XINZHU,MIAOLI,HSINCHU,1,0,0,0,0,0
4/15/2018,SONGSHAN_E,SONGSHAN,EAST,SONGSHAN,EAST,0,0,1,0,0,0
4/15/2018,TOUFEN_B_E,ZHUNAN,XINZHU,TOUFEN,HSINCHU,1,0,0,0,0,0
4/15/2018,TUCHENG_S,TUCHENG,WEST,TUCHENG,WEST,0,0,0,0,1,0
4/15/2018,XIZHI_A_E,XIZHI,EAST,XIZHI,EAST,1,0,0,0,0,0
4/22/2018,ANKANG_E,XINDIAN,SOUTH,ANKANG,SOUTH,1,0,0,0,0,0
4/22/2018,LINKOU_E,XINZHUANG,WEST,DANFENG,WEST,1,0,0,0,0,0
